TenureGroup,Complain,用户数,流失人数,流失率,平均订单数,投诉状态,样本标注
0-12个月 新用户,0,2669,397,0.14874484825777445,2.5818658673660546,无投诉,样本充足
0-12个月 新用户,1,1065,456,0.428169014084507,2.6553990610328637,有投诉,样本充足
13-24个月 成长用户,0,1053,43,0.04083570750237417,3.8461538461538463,无投诉,样本充足
13-24个月 成长用户,1,414,52,0.12560386473429952,3.345410628019324,有投诉,样本充足
25-36个月 成熟用户,0,302,0,0.0,3.7549668874172184,无投诉,样本充足
25-36个月 成熟用户,1,123,0,0.0,3.0813008130081303,有投诉,样本充足
36个月以上 老用户,0,2,0,0.0,2.5,无投诉,小样本
36个月以上 老用户,1,2,0,0.0,1.5,有投诉,小样本
