PreferedOrderCat,用户数,流失率,平均订单数,平均优惠券数,平均返现,用户占比
Mobile Phone,1271,0.2753737214791503,2.4744295830055076,1.6813532651455547,149.07203776553894,0.2258
Mobile,809,0.2719406674907293,1.7243510506798516,0.8862793572311496,126.25307787391843,0.1437
Fashion,826,0.1549636803874092,3.8656174334140436,2.318401937046005,210.4130508474576,0.1467
Laptop & Accessory,2050,0.1024390243902439,2.766341463414634,1.6512195121951219,167.21839999999997,0.3641
Others,264,0.07575757575757576,5.25,2.3257575757575757,304.5559090909091,0.0469
Grocery,410,0.04878048780487805,4.597560975609756,2.1902439024390246,266.2309756097561,0.0728
